Complited in 17.768222
a[0][0] = 1, 
a[0][1] = 0.5, 
a[0][2] = 0.333333, 
a[0][3] = 0.25, 
a[0][4] = 0.2, 
a[0][5] = 0.166667, 
a[0][6] = 0.142857, 
a[0][7] = 0.125, 
a[0][8] = 0.111111, 
a[0][9] = 0.1, 
a[0][10] = 0.0909091, 
a[0][11] = 0.0833333, 
a[0][12] = 0.0769231, 
a[0][13] = 0.0714286, 
a[0][14] = 0.0666667, 
a[0][15] = 0.0625, 
a[0][16] = 0.0588235, 
a[0][17] = 0.0555556, 
a[0][18] = 0.0526316, 
a[0][19] = 0.05, 
a[0][20] = 0.047619, 
a[0][21] = 0.0454545, 
a[0][22] = 0.0434783, 
a[0][23] = 0.0416667, 
a[0][24] = 0.04, 
a[0][25] = 0.0384615, 
a[0][26] = 0.037037, 
a[0][27] = 0.0357143, 
a[0][28] = 0.0344828, 
a[0][29] = 0.0333333, 
a[0][30] = 0.0322581, 
a[0][31] = 0.03125, 
a[0][32] = 0.030303, 
a[0][33] = 0.0294118, 
a[0][34] = 0.0285714, 
a[0][35] = 0.0277778, 
a[0][36] = 0.027027, 
a[0][37] = 0.0263158, 
a[0][38] = 0.025641, 
a[0][39] = 0.025, 
a[0][40] = 0.0243902, 
a[0][41] = 0.0238095, 
a[0][42] = 0.0232558, 
a[0][43] = 0.0227273, 
a[0][44] = 0.0222222, 
a[0][45] = 0.0217391, 
a[0][46] = 0.0212766, 
a[0][47] = 0.0208333, 
a[0][48] = 0.0204082, 
a[0][49] = 0.02, 
a[0][50] = 0.0196078, 
a[0][51] = 0.0192308, 
a[0][52] = 0.0188679, 
a[0][53] = 0.0185185, 
a[0][54] = 0.0181818, 
a[0][55] = 0.0178571, 
a[0][56] = 0.0175439, 
a[0][57] = 0.0172414, 
a[0][58] = 0.0169492, 
a[0][59] = 0.0166667, 
a[0][60] = 0.0163934, 
a[0][61] = 0.016129, 
a[0][62] = 0.015873, 
a[0][63] = 0.015625, 
a[0][64] = 0.0153846, 
a[0][65] = 0.0151515, 
a[0][66] = 0.0149254, 
a[0][67] = 0.0147059, 
a[0][68] = 0.0144928, 
a[0][69] = 0.0142857, 
a[0][70] = 0.0140845, 
a[0][71] = 0.0138889, 
a[0][72] = 0.0136986, 
a[0][73] = 0.0135135, 
a[0][74] = 0.0133333, 
a[0][75] = 0.0131579, 
a[0][76] = 0.012987, 
a[0][77] = 0.0128205, 
a[0][78] = 0.0126582, 
a[0][79] = 0.0125, 
a[0][80] = 0.0123457, 
a[0][81] = 0.0121951, 
a[0][82] = 0.0120482, 
a[0][83] = 0.0119048, 
a[0][84] = 0.0117647, 
a[0][85] = 0.0116279, 
a[0][86] = 0.0114943, 
a[0][87] = 0.0113636, 
a[0][88] = 0.011236, 
a[0][89] = 0.0111111, 
